id_imdb,type,name,release_year,release_month,genre
tt10408218,Movie,Pizzodyssey,2024,2,Comedy
tt11152168,Movie,IF,2024,5,Comedy
tt12975102,Movie,Staycation,2024,9,Comedy
tt13036100,Movie,Broken Glass,2024,2,Comedy
tt13176330,Movie,Hitpig,2024,,Comedy
tt13311746,Movie,Food Fight,2024,2,Comedy
tt13622970,Movie,Moana 2,2024,11,Comedy
tt13695406,Movie,We Don't Say Retard Anymore,2024,9,Comedy
tt14256984,Movie,Una Noche Buena,2024,12,Comedy
"tt14257662,Movie,""MoviePass, MovieCrash"",2024,5,Comedy"
tt14478740,Movie,Rhapsody in Justice,2024,8,Comedy
tt14866430,Movie,Disconnected,2024,11,Comedy
"tt15005992,Movie,""Mookie Mayberry: Laugh, Live A Little"",2024,,Comedy"
tt15009428,Movie,Argylle,2024,2,Comedy
tt15127142,Movie,Nothing Unusual,2024,10,Comedy
tt15482424,Movie,Untitled Universal Animated Event Film,2024,2,Comedy
tt15535164,Movie,Sunset Shimmer and the Acidic Universe of Makori,2024,12,Comedy
tt1609486,Movie,Harold and the Purple Crayon,2024,9,Comedy
tt5260932,Movie,Residence,2024,8,Comedy
tt5834410,Movie,The Tiger's Apprentice,2024,2,Comedy
tt9371598,Movie,This Time Next Year I'll Be Famous,2024,9,Comedy
tt9134034,Movie,The Levy's Tomb,2024,,Comedy
tt16238364,Movie,Dick Reno: Monster Slayer,2024,10,Comedy
tt8228656,Movie,Døde menn går på ski,2024,3,Comedy
tt15721572,Movie,The Truck,2024,,Comedy
tt7504794,Movie,All Hallows' Steve,2024,,Comedy
tt9348460,Movie,Uomini e altri inconvenienti,2024,10,Comedy
tt16915540,Movie,Careful How You Play,2024,,Comedy
tt18340690,Movie,Luna in Love,2024,11,Comedy
tt20029232,Movie,The Inn,2024,9,Comedy
tt20407238,Movie,The Dream Fisher,2024,9,Comedy
tt20453194,Movie,The Satire,2024,12,Comedy
tt20721318,Movie,Kholop 2,2024,1,Comedy
tt21235248,Movie,Ghostbusters: Frozen Empire,2024,3,Comedy
tt21692408,Movie,Kung Fu Panda 4,2024,3,Comedy
tt21957774,Movie,Irish Wish,2024,3,Comedy
tt22022452,Movie,Alles steht Kopf 2,2024,6,Comedy
tt24224490,Movie,Üç Günlük Dünya,2024,5,Comedy
tt24516554,Movie,Filme Gel,2024,1,Comedy
tt26469339,Movie,The Zone Action: The Movie,2024,3,Comedy
tt26695297,Movie,Scotoe,2024,2,Comedy
tt26777092,Movie,This is Cinema,2024,5,Comedy
tt26932223,Movie,Bhool Bhulaiyaa 3,2024,11,Comedy
tt27003487,Movie,Quacker,2024,1,Comedy
tt27127398,Movie,Love Hurts,2024,none,Comedy
tt27459160,Movie,Teri Baaton Mein Aisa Uljha Jiya,2024,2,Comedy
tt27499876,Movie,American Eagles Can't Fly,2024,1,Comedy
tt27510174,Movie,Stree 2,2024,8,Comedy
tt27528145,Movie,Elmo,2024,none,Comedy
tt27534211,Movie,Bolshoe puteshestvie. Vokrug sveta,2024,7,Comedy
